Timestamp,Dataset,p,Critical_k,Speedup_At_k
2026-01-25 20:01:32,Arrhythmia_p100,100,75,1.5345
2026-01-25 20:01:32,Arrhythmia_p100,100,62,1.2118
2026-01-25 20:01:32,Arrhythmia_p100,100,56,1.0672
2026-01-25 20:01:32,Arrhythmia_p100,100,53,0.9923
2026-01-25 20:01:33,Arrhythmia_p125,125,63,1.3809
2026-01-25 20:01:33,Arrhythmia_p125,125,31,0.4799
2026-01-25 20:01:33,Arrhythmia_p125,125,47,0.9056
2026-01-25 20:01:33,Arrhythmia_p125,125,55,1.1535
2026-01-25 20:01:34,Arrhythmia_p125,125,51,1.0151
2026-01-25 20:01:34,Arrhythmia_p150,150,75,1.9542
2026-01-25 20:01:34,Arrhythmia_p150,150,37,0.6157
2026-01-25 20:01:35,Arrhythmia_p150,150,56,1.1909
2026-01-25 20:01:35,Arrhythmia_p150,150,46,0.8686
2026-01-25 20:01:35,Arrhythmia_p150,150,51,1.0341
2026-01-25 20:01:36,Arrhythmia_p175,175,88,2.9546
2026-01-25 20:01:37,Arrhythmia_p175,175,44,0.7729
2026-01-25 20:01:37,Arrhythmia_p175,175,66,1.5089
2026-01-25 20:01:38,Arrhythmia_p175,175,55,1.1264
2026-01-25 20:01:38,Arrhythmia_p175,175,49,0.9337
2026-01-25 20:01:38,Arrhythmia_p175,175,52,1.0076
2026-01-25 20:01:39,Arrhythmia_p200,200,100,3.7039
2026-01-25 20:01:40,Arrhythmia_p200,200,50,1.0604
2026-01-25 20:01:40,Arrhythmia_p200,200,25,0.3483
2026-01-25 20:01:41,Arrhythmia_p200,200,37,0.6542
2026-01-25 20:01:41,Arrhythmia_p200,200,43,0.8311
2026-01-25 20:01:41,Arrhythmia_p200,200,46,0.9279
2026-01-25 20:01:42,Arrhythmia_p200,200,48,0.9974
2026-01-25 20:01:43,Arrhythmia_p225,225,113,3.6848
2026-01-25 20:01:44,Arrhythmia_p225,225,56,1.0993
2026-01-25 20:01:44,Arrhythmia_p225,225,28,0.3520
2026-01-25 20:01:45,Arrhythmia_p225,225,42,0.6890
2026-01-25 20:01:45,Arrhythmia_p225,225,49,0.8851
2026-01-25 20:01:46,Arrhythmia_p225,225,52,0.9931
2026-01-25 20:01:48,Arrhythmia_p250,250,125,5.1031
2026-01-25 20:01:49,Arrhythmia_p250,250,62,1.2863
2026-01-25 20:01:49,Arrhythmia_p250,250,31,0.4074
2026-01-25 20:01:50,Arrhythmia_p250,250,46,0.7848
2026-01-25 20:01:51,Arrhythmia_p250,250,54,1.1060
2026-01-25 20:01:51,Arrhythmia_p250,250,50,0.8921
2026-01-25 20:01:52,Arrhythmia_p250,250,52,0.9578
