experiment_name,k,steps,samples,alpha,g_obj,fw_obj,g_time,fw_time,dataset_name,p,ratio,speedupx
sniper_k23_a0.2_m50,23,1000,50,0.2,36.35861806505949,35.75622118479023,0.09856843948364258,1.1553518772125244,myocardial,111,0.9834317993277043,0.08531464866050599
sniper_k24_a0.2_m50,24,1000,50,0.2,37.46065277255989,36.69620618275618,0.10326743125915527,1.1566739082336426,myocardial,111,0.9795933457314532,0.08927964098097019
sniper_k25_a0.2_m50,25,1000,50,0.2,38.56169181379185,38.01603822717613,0.10935163497924805,1.1611928939819336,myocardial,111,0.9858498535476453,0.0941718086167942
sniper_k26_a0.2_m50,26,1000,50,0.2,39.63532575067947,39.07989147454871,0.11482715606689453,1.1530165672302246,myocardial,111,0.9859863829649176,0.09958847021837008
sniper_k27_a0.2_m50,27,1000,50,0.2,40.70268454625199,39.9939312447647,0.12092804908752441,1.1557586193084717,myocardial,111,0.982587062514712,0.10463088664645187
sniper_k1_a0.2_m50,1,1000,50,0.2,67.56490627353598,66.83150801131971,0.0034227371215820312,1.252518892288208,residential,103,0.9891452781826247,0.002732683029897524
sniper_k2_a0.2_m50,2,1000,50,0.2,73.43947676524442,68.88462378001006,0.006551265716552734,1.2691960334777832,residential,103,0.9379781394713045,0.005161744556198546
sniper_k3_a0.2_m50,3,1000,50,0.2,78.07622516365214,72.84117097249694,0.010056257247924805,1.273876667022705,residential,103,0.9329494454914766,0.007894215749651975
sniper_k4_a0.2_m50,4,1000,50,0.2,82.4635743943862,78.22102526611879,0.013472318649291992,1.2809457778930664,residential,103,0.9485524468297092,0.01051747769640306
sniper_k5_a0.2_m50,5,1000,50,0.2,85.13348952101465,81.32051042910709,0.017180681228637695,1.273444414138794,residential,103,0.9552117608081089,0.013491504645105897
sniper_k6_a0.2_m50,6,1000,50,0.2,87.74273186166033,83.73064225117218,0.02073836326599121,1.2852723598480225,residential,103,0.9542743937262654,0.016135384151918918
sniper_k7_a0.2_m50,7,1000,50,0.2,89.48664278483598,85.07185821879585,0.02441549301147461,1.2820379734039307,residential,103,0.9506654353247428,0.01904428224278661
sniper_k8_a0.2_m50,8,1000,50,0.2,91.19985728991436,85.6006799016512,0.027796030044555664,1.277752161026001,residential,103,0.93860541502314,0.02175385093634762
sniper_k9_a0.2_m50,9,1000,50,0.2,92.8618415303951,90.1325761631835,0.03168916702270508,1.2834157943725586,residential,103,0.970609398626687,0.02469127087390833
sniper_k10_a0.2_m50,10,1000,50,0.2,94.33406243590873,88.98537876681343,0.03530240058898926,1.2896802425384521,residential,103,0.9433006113488513,0.027372987058795473
sniper_k11_a0.2_m50,11,1000,50,0.2,95.29497867082273,92.23836901552352,0.03914332389831543,1.280998945236206,residential,103,0.967924756393958,0.030556874417330383
sniper_k12_a0.2_m50,12,1000,50,0.2,96.07101126867776,92.91830069770386,0.04356575012207031,1.2672374248504639,residential,103,0.9671835392451854,0.03437852234139245
sniper_k13_a0.2_m50,13,1000,50,0.2,96.74348625890441,93.69951907811217,0.04793071746826172,1.2864940166473389,residential,103,0.9685356885667115,0.03725685222630986
sniper_k14_a0.2_m50,14,1000,50,0.2,97.36164841349758,94.82243621255249,0.051828861236572266,1.289302110671997,residential,103,0.9739197903659048,0.04019915953566426
sniper_k15_a0.2_m50,15,1000,50,0.2,97.93379494953606,95.53279630154138,0.05759787559509277,1.2789433002471924,residential,103,0.9754834513537244,0.045035519232135106
sniper_k16_a0.2_m50,16,1000,50,0.2,98.46041910647615,95.9215850433968,0.06006813049316406,1.2829203605651855,residential,103,0.9742146734076581,0.04682140243428772
sniper_k17_a0.2_m50,17,1000,50,0.2,98.92549491777558,96.04560520208861,0.06452775001525879,1.2846519947052002,residential,103,0.9708882961052592,0.05022975115534422
sniper_k18_a0.2_m50,18,1000,50,0.2,99.31716935229022,98.18770264622704,0.06921052932739258,1.2929418087005615,residential,103,0.9886276792479171,0.05352950060215848
sniper_k19_a0.2_m50,19,1000,50,0.2,99.66049382521496,98.91957323875138,0.07427048683166504,1.300873041152954,residential,103,0.9925655537312207,0.057092801896978095
